Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
19-05-2025,03:52,19-05-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,39 EUR",,,,EUR,"83,72",
19-05-2025,03:52,19-05-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,39",EUR,"83,33",
17-05-2025,06:56,16-05-2025,,,Ingreso Cambio de Divisa,,EUR,"0,39",EUR,"83,72",
17-05-2025,06:56,16-05-2025,,,Retirada Cambio de Divisa,"1,1191",USD,"-0,44",USD,"0,00",
16-05-2025,07:08,15-05-2025,APPLE INC,US0378331005,Dividendo,,USD,"0,52",USD,"0,44",
16-05-2025,07:08,15-05-2025,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"-0,08",
25-04-2025,10:01,25-04-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 15,3 EUR",,,,EUR,"83,33",
25-04-2025,10:01,25-04-2025,,,Degiro Cash Sweep Transfer,,EUR,"-15,30",EUR,"68,03",
25-04-2025,08:21,24-04-2025,AIRBUS SE,NL0000235190,Retención del dividendo,,EUR,"-2,70",EUR,"83,33",
25-04-2025,08:21,24-04-2025,AIRBUS SE,NL0000235190,Dividendo,,EUR,"18,00",EUR,"86,03",
06-04-2025,10:50,31-03-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"68,03",
04-04-2025,01:39,03-04-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 149,57 EUR",,,,EUR,"68,03",
04-04-2025,01:39,03-04-2025,,,Degiro Cash Sweep Transfer,,EUR,"149,57",EUR,"217,60",
03-04-2025,17:21,03-04-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,00",EUR,"68,03",09e0825e-0420-42a3-87ef-82ebcba1b27b
03-04-2025,17:21,03-04-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,"Compra 3 iShares Core S&P 500 UCITS ETF USD (Dist)@48,855 EUR (IE0031442068)",,EUR,"-146,56",EUR,"71,03",09e0825e-0420-42a3-87ef-82ebcba1b27b
28-03-2025,09:40,28-03-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1,86 EUR",,,,EUR,"217,60",
28-03-2025,09:40,28-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"1,86",EUR,"219,46",
28-03-2025,08:42,28-03-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,86 EUR",,,,EUR,"217,60",
28-03-2025,08:42,28-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,86",EUR,"215,74",
28-03-2025,08:01,28-03-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,86 EUR",,,,EUR,"217,60",
28-03-2025,08:01,28-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,86",EUR,"215,74",
28-03-2025,06:39,27-03-2025,,,Ingreso Cambio de Divisa,,EUR,"1,86",EUR,"217,60",
28-03-2025,06:39,27-03-2025,,,Retirada Cambio de Divisa,"1,0828",USD,"-2,01",USD,"0,00",
27-03-2025,07:22,26-03-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"1,56",USD,"2,01",
27-03-2025,07:14,26-03-2025,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"0,45",
27-03-2025,07:14,26-03-2025,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,53",USD,"0,53",
17-02-2025,17:30,17-02-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,4 EUR",,,,EUR,"215,74",
17-02-2025,17:30,17-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,40",EUR,"215,34",
15-02-2025,06:54,14-02-2025,,,Ingreso Cambio de Divisa,,EUR,"0,40",EUR,"215,74",
15-02-2025,06:54,14-02-2025,,,Retirada Cambio de Divisa,"1,0518",USD,"-0,42",USD,"0,00",
14-02-2025,07:07,13-02-2025,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"0,42",
14-02-2025,07:07,13-02-2025,APPLE INC,US0378331005,Dividendo,,USD,"0,50",USD,"0,50",
07-02-2025,08:22,06-02-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 7,5 EUR",,,,EUR,"215,34",
07-02-2025,08:22,06-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"7,50",EUR,"222,84",
06-02-2025,17:14,31-01-2025,,,Comisión de conectividad con el mercado 2025 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"215,34",
06-02-2025,17:14,31-01-2025,,,Comisión de conectividad con el mercado 2025 (Nasdaq - NDQ),,EUR,"-2,50",EUR,"217,84",
06-02-2025,17:14,31-01-2025,,,Comisión de conectividad con el mercado 2025 (Euronext Amsterdam - EAM),,EUR,"-2,50",EUR,"220,34",
05-01-2025,04:41,02-01-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"222,84",
03-01-2025,03:46,02-01-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,91 EUR",,,,EUR,"222,84",
03-01-2025,03:46,02-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,91",EUR,"220,93",
31-12-2024,07:40,30-12-2024,,,Ingreso Cambio de Divisa,,EUR,"1,91",EUR,"222,84",
31-12-2024,07:40,30-12-2024,,,Retirada Cambio de Divisa,"1,0433",USD,"-1,99",USD,"0,00",
30-12-2024,07:26,27-12-2024,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"1,57",USD,"1,99",
30-12-2024,07:20,27-12-2024,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"0,42",
30-12-2024,07:20,27-12-2024,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,50",USD,"0,50",
22-11-2024,17:45,22-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,14",EUR,"220,93",
22-11-2024,17:45,22-11-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,14 EUR",,,,EUR,"221,07",
22-11-2024,07:09,21-11-2024,CELLNEX TELECOM SA,ES0105066007,Dividendo,,EUR,"0,14",EUR,"220,93",
18-11-2024,20:01,18-11-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,4 EUR",,,,EUR,"220,79",
18-11-2024,20:01,18-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,40",EUR,"220,39",
16-11-2024,06:50,15-11-2024,,,Ingreso Cambio de Divisa,,EUR,"0,40",EUR,"220,79",
16-11-2024,06:50,15-11-2024,,,Retirada Cambio de Divisa,"1,0566",USD,"-0,42",USD,"0,00",
15-11-2024,07:10,14-11-2024,APPLE INC,US0378331005,Dividendo,,USD,"0,50",USD,"0,42",
15-11-2024,07:10,14-11-2024,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"-0,08",
05-10-2024,01:01,30-09-2024,,,Flatex Interest Income,,EUR,"0,00",EUR,"220,39",
27-09-2024,22:02,27-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,72",EUR,"220,39",
27-09-2024,22:02,27-09-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,72 EUR",,,,EUR,"222,11",
27-09-2024,07:55,26-09-2024,,,Ingreso Cambio de Divisa,,EUR,"1,72",EUR,"220,39",
27-09-2024,07:55,26-09-2024,,,Retirada Cambio de Divisa,"1,1205",USD,"-1,93",USD,"0,00",
27-09-2024,06:14,26-09-2024,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"1,93",
